reference	hypA	nbrA	hypB	nbrB
donc attendons nous à ça et travaillons essentiellement sur l' idée de	donc attendons-nous à ça et travaillons essentiellement sur l' idée de	7	donc attendons e nous à ça et travaillons essentiellement sur l' idée de	0
sur une ligne en seine et marne et puis ensuite effet boule de neige	sur uneî en cinéma et puis ensuite effet boule de neige	0	sur une ligne en seine-et-marne et puis ensuite ç a fait boule de neige	7
le voilà donc récompensé au festival du film policier de beaune	voilà donc récompensé au festival du film policier de beaune	5	le voilà donc récompensé au festival du film policier de baunes	2
ça ça les a bouleversés et ils voulaient montrer ils voulaient faire un geste symbolique	ça ça les a bouleversés et il vouslait montrer voulait faire un geste symbolique	3	ça ça les a bouleversé et il voulait montrer vous voulait faire un geste symbolique	4
qui existait de basculer le montant non utilisé du crédit collaborateur sur l' irfm sera supprimée	qui existait de basculer le montant non utilisé du crédit collaborateur sur l' irfm sera supprimé	7	qui existait de basculer le montant non utilisé du crédit collaborateur sur l' irfm sera supprémé	0
mais est ce que vous savez combien coûte par exemple la baisse de la tva sur la restauration	ce que vous savez combien coûte par exemple la baisse de la tva sur la restauration	1	mais est-ce que vous savez combien de coûte par exemple la baisse de la tva sur la restauration	6
priorité nous sommes nous sommes	priori ça ne vous allez en choisissant m	0	priorité nous sommesan nous sommes	7
d' accord avec ça danielle schweisguth	euh d' accord avec ça danieèle lachosegou	1	d' accord avec ça euh danièl schosgoud	6
selon les les critères que tout le monde respecte depuis très longtemps le cio en a choisi autrement	ah euh selon les les critères euh que tout le monde respecte depuis euh très longtemps euh le cio en a choisi autrement	7	ah euh selon les les critères euh que tout le monde respecte depuis euh très longtemps euh le cie en a choisi autrement	0
pour évacuer son stress le producteur a un truc imparable	pour exacuaison stress le producteur un truc imparable	0	pour évacuer son stress le producteur un truc infarable	7
il y a des massacres en syrie une situation dramatique	euh il y a des massacres en syrie une situation dramatique	7	euh il y a des massacreseh en syrie une situation dramatique	0
dans la salle plus de deux mille militants conquis et des proches aussi après l' avoir souvent critiquée	la salle plus de deux mille militants conquis et des proches aussi après l' avoir souvent critiqué	7	dans la salle plus de deux milles militants complies et des proches aussi après l' avoir souvent critiqué	0
le jour le plus court c' est bien pour aller voir les films les plus courts	jean-louis cours c' est bien pour les valeurs qui étaient depuis tou	0	jan-a blu cour c' est bien pour aller voir les films u plus court	7
une lutte qui semble impossible car l' italie de stefano sollima est une italie en pleine crise morale	une lutte qui semble impossible car l' italie de stéphane o solima est une italie en cleine crise morale	7	une lutte qui semble impossible carlitali de stéphane o solima et tunitalie en cleine crise morale	0
possible l' agence moody' s a placé hier soir ces pays sous perspectives négatives	possible l' agence moodiz a placé hier soir ses pays sous perspective négative	0	possible l' agence moodi' s a placé hier soir ces pays sous perspective négative	7
est avancé chez les socialistes comme premier premier ministre possible de françois hollande bien sûr s' il est élu	est avancée chez socialistes comme premier pro pour le premier ministre possible de françois hollande bien sûr s' il est élu	1	est avancée chez les socialistes comme premier pro()) pro) euh premier ministre possible de françois hollande bien sûr s' il est élu	6
culture et vous on va parler des oscars avec glenn close habillée en monsieur	culture et vous on va parler des oscars avec gleine clalo habilant monsieur	0	culture et vous on va parler des oscars avec glaine close ha billan monsieur	7
elle me rappelle par certains à certains égards celle de ma campagne de deux mille sept	elle me rappelle par certains à certains égards celle de de ma campagne de deux milles sept	7	elle ne rappelle par certains à certains égards celle de de a campagne de deux mille sept	0
et tous deux vous êtes membres de l' association les amis de nicolas sarkozy	et tous deux vous êtes membres de l' association des amis nicolas sarkozy	7	et tous deux vous êtes mon de l' association des amis nicolas sark	0
est ce bien le moment	c' est bien le moment	0	est-ce bien le moment	7
alors jean marie le guen	jean marie le bouche	0	alors-marie le guen	7
à mis un temps fou à se constituer	euh a mis un temps vous à se constituer	0	euh a mis un temps de fou à se constituer	7
un ciné rapido	un siné rapido	3	un ciné rapidea	4
c' est cent dix mille suspects supplémentaires interpellés par la police	c est cent dix mille suspects supplémentaires interpellés par la police	6	c' es cent dix mille suspects supplémentaires interpellés par la police	1
sur un détail la trajectoire peut être faussée	sur un détail et la trajectoire peut fausser	6	sur un détail euh la trajectoire peut être chusée	1
une nouvelle expo tim burton	nouvelle expo tim	4	au nouvel expo ting burton oui	3
ils vont être obligés d' envoyer des sportives aux jeux olympiques et le qatar même	vont être obligés d' envoyer des sportives aux jeux olympiques et le qatar même	7	il von être obligé d' envoyer des sportives euh aux jeux olympiques et le catard même	0
c' est c' est vraiment fini alors messieurs vous me faites je suis désolé mais dix secondes chacun sur borloo	euh c' est c' est vraiment fini alors messieurs vous me faites euh je suis désolé mais dix secondes chacun sur borloo	7	euh c' est c' est vraiment fini alors messieurs vous me faites euh je suis désolé mais dix secondes chacun fait su borloo	0
une décision qui satisfait breivik ce dernier craignait que l' internement psychiatrique ne discrédite ses actes	une décision qui satisfait brevik ce dernier craignait que l' internement psychiatrique ne discrédite ces actes	3	une décision qui satisfait brevic ce dernier craignait que l' internement psychiatrique ne discrédite ses actes	4
les bourses européennes restent stables ou en légère baisse	bourses européennes reste stable ou en légère baisse	7	les bourses européennes restent stables ont légère baissent	0
se trouver avec des taux d' intérêt italiens ou espagnols qui va qui va tomber la	se trouver avec des taux d' intérêt italiens ou espagnols qui va qui va faire tomber la	1	se trouver avec des taux d' intérêt italiens ou espagnols qui va qui va qa tomber la	6
le nouveau président ne composait pas un gouvernement il recrutait dit elle pour un casting	le nouveau président ne composait pas un gouvernement il recrutait dit-elle pour un casting	6	le nouveau président ne composait pas un gouvernement il le recrutait dit-elle pour un casting	1
tenu des porté des calomnies inadmissibles sur une de ses adversaires	tenu des porter des calomnies inadmissible sur une de ses adversaires	6	euh tenue euh des porter des calomnies inadmissibles sur euh une de ses adversaires	1
alors jean marie le guen	alors sans marrie le guen	2	alors jean-marie le g	5
on a continué on a continué à se parler moi ce qui m' a vraiment frappé chez lui	on l' a continué euh on a continué à je parle moi je qui m' a vraiment je frappelé chez lui	0	on la continua euh on a continué à je parler moi je qui m' a vraiment frappé chez lui	7
c' est c' est un modèle pour les femmes	et ça c' est un modèle pour les femmes	5	aase un c' est un modèle pour les femmes	2
merci beaucoup d' être sur le plateau de bfm tv bonsoir danièle delpeuch	merci beaucoup d' être sur le plateau de bfm tv bonsoir daniel del peut	0	merci beaucoup d' être sur le plateau de bfm tv bonsoir daniele delpeu	7
sais pas quel	sait pas que quel	1	sait pas quelle	6
l' info trafic avec green accres point com moteur de recherches immobilières sur internet	l' info trafic avec grinac point com moteur de recherches immobilières sur internet	6	l' info trafiqu avec grinag point com moteur de recherche immobilière sur internet	1
on a eu alain bernard on a camille lacourt yannick agnel et d' autres et en même temps	euh on a eu alain bernard euh on a euh camille la cour et une camion des d' autres et en même temps	4	euh on a eu alain bernard euh on a euh camis la cour y an ny canyadet d' autres et en même temps	3
alors j' ai entendu un peu la démagogie sur les collectivités vous savez sur les	alors j' ai entendu un peu la démagogie sur les collectivités vous savez sur les euh	7	alors j' ai entendu un peu la démagogie sur les collectivités u vovez sur les euh	0
bon un peu oui mais bon	bon c' était juste' il est ail c' est ça ou ou un peu oui mais bon	3	bon j' étais juqu' il es là c' est ça ou ou un peu oui mais bon	4
et donc le plus suivi médiatiquement	le plus suivi giaka	0	et donc le plus suivi on a di	7
à la fois notre programme	euh à la fois notre programme	7	euh à la fois dons programme	0
une forme de protectionnisme européen sur les produits venus de l' extérieur	forme de prote de so oni sur européen sur les produis ou je i a	0	forme de protectionnissmee européens sur les produits oue e u e	7
patrick bloche on vous l' avait promis vous venez de l' avoir merci grand merci à tous les deux	quand vous l' avez promis vous venez de la voir merci grand merci à tous les deux	2	(tricqu brofh on vous l' avez promis vous venez de l' avoir merci grand merci à tous les deux	5
c' est c' est vraiment fini alors messieurs vous me faites je suis désolé mais dix secondes chacun sur borloo	c' est vraiment fini alors messieurs vous me faites je suis désolé mais dix secondes chacun seront borloo	7	euh c' est c' est vraiment celui alors messieurs vous me faites euh je suis désolé mais dix heures messieurs vous me faites euh je suis	0
oui il est jeune il est il	oui il est jeune et il	2	oui il est jeune il estil	5
et on voit aujourd'hui où se trouve la grèce alors justement est ce que c' est un business rentable	et on voiteu aujourd' hui ou se trouve la graisse alor justement est-ce que c' est un business rentable	7	on voit eu e fran en e es le eu ous se trou le le re se e le juste ment se le c es un das es ren table	0
en fait le le le la rumeur l' information de sa maladie commençait à courir les rédactions	en fait le le le la rumeur l' information al ani commence à courir les rédactions	4	euh en fait le le le le le la rumeur l' information de tamani commence à courir les rédactions	3
mais lui même le sait il	mais lui-même mais estcil	6	mais lui-même es a a ile	1
ce soir sur lcp avec le meeting de philippe poutou à la halle carpentier à paris	euh ce soir sur euh lcp avec le meeting de philippe poutou ala al carpentie à paris	4	euh ce soir sur euh lcp avec le meeting de philippe pouteou à la alcarpenti à paris	3
bien évidemment bien évidemment	bien évide bien évidemment euh	0	bien évidemment bien évidemment eun	7
la compagnie veut proposer des incitations financières à ses pilotes pour les faire travailler au sein de sa filiale transavia	la compagnie veut euh proposer les incitations financières à ses pilotes pour les faire travailler au sein de sa filiale transabia	2	la compagnie veut euh proposer des incitations financières à ces pilotes pour les faire travailler au sein de sa filiale transavia	6
et cette affaire date de de la fin deux mille onze	et cette affaire date de de la fin deux milles onze	7	ui cette affaire date de de la fin deux milles onze	1
et oui objectif protester contre mille quatre cents suppressions de postes annoncées alors que	ah oui objectif protester contre mille quatre cents suppressions de postes annoncées alors que	2	eh oui objectif protester contre mille quatre cents suppressions de postes annoncés alors que	6
non mais j' ai pas dis ça	non mais j' ai pas dit ça	8	non mais j' ai pas de ça	0
pour pour lui pour nous et un moment très très agréable	pour euh pour lui pour nous et un moment très très agréable	4	poureuh pour lui pour nous et un moment très très agréable	4
ce ce cette manière de le gommer est en fait absolument énorme	euh absolument énorme	0	euhh ce ce cette manière de le gommer est en fait euh absolument énorme	8
décortiquons cher christophe bonjour	décortiant jeanqueschristophe bonjour	2	décortiqant jacques-christophe bonjour	6
pas de dépénalisation	dépénalisation	1	pas e dépénalisation	7
au cnrs dans les qg	euh au cnrs dans les sujets	2	euh au cnrs dans les cg	6
mille mille sept cent milliards	mille mille sept cents milliards	8	mill mille sepq cents milliards	0
et non d' une idéologie partisane ou syndicale	et non d' une idéologie partisane au syndicale	8	et non d' une idéologie partisane au syndical	0
et je suis d' accord que c' est un peu irritant ce son	suis d' accord que c' est un peu héritant ce sont	1	oui je suis d' accord que c' est un peu héritant euh ce son	7
je préviens le bourget pour leur dire qu' on risque de décoller en retard	je conais le bonger pour leur dire qu' on risque d être découlér ente	2	je ai conbien le bourger pour leur dire qu' on risque de décolér en tea	6
pour la moralisation de la vie politique aura été condamné en diffamation pour avoir	euh euh pour la moralisation de la vie politique aura été condamné en diffamation pour avoir	2	euh pour la moralisation de la vie politique aura été condamnée en diffamation pour avoir	6
sur la fin sur la fin	la fin sur la fin	8	par la fi sur la fin	0
pense que ça fait partie des pistes intéressantes passer d' une fiscalité qui est encore balbutiante	pense que ça fait partie des pistes intéressantes c' est une fiscalité qui est encore balbutiante	6	pense que ça fait partie des pistes intéressantes c' est une fiscalité qui est encore balbuchante	2
eddy merckx de de tout temps on a eu des dominateurs dans le peloton des des grands champions	et dy merx euh de de tous temps on a eu des dominateurs dans le peloton des des grands champions	6	et di merx euh en de de tous temps on a eu des dominateurs dans le peloton des des grands champions	2
c' était le mouvement de résistance défense de la france	euh c' était le mouvement de résistance défense de( de la france	8	euh c' était le mouvement de réxistence défensef de la france	0
je vais être un peu polémique à mon tour françois patriat	et je ais êtrae un peu polémique à mon tour euh françois patriat euh	5	mai je vais être un peu polémique a von tour euh françois patriat euh	3
l' affairisme les cercles de jeux c' est le cercle wagram à paris	euh l' affairisme les cercles de jeux c' est le cercle vagrame à paris	7	euh l' affairisme les cercles de jeu c' est le cercle vagram à paris	1
là en plus il fait des il fait des sorties qui sont pas genre rassembleuse	là en plus i(l) fait des il fait des sorties qui sont pas euh j' en rassembleuses euh	5	là en plus i(l) fait des i(l) fait des sorties qui sont pas euh gen(s rassembleuses euh	3
sarkozy et on a limite quoi qu' il dise actuellement ça ne passe pas sauf ceux naturellement qui sont	sarkozy y an en a limite quoi qu' ils disent actuellement ça ne passe pas souss naturellement qui sont	6	sarkozy y e en alimique quoi qu' il dise actuellement ça ne passe pas sous se naturlement qui sont	2
oui pourquoi pas ça peut donner des vocations	pourquoi pas ça peut donner des vocations	8	oui pourquoi pas ça peu donner de vocation	0
pour nous soumettre au débat public mais on nous l' a refusé	pour euh nous soumettre au débat public mais on nous l' a refusé	7	pour nous soumettre au débat public mais on nous la refuser	1
il nous a semblé	assemblée	0	nous a semblé	8
c' est extraordinaire de vivre ça	c' est extraordinaire de vivre ça et c' est des extraordin b	1	c' est extraordinaire de vivre ça esttra	7
pour les retraites	bon les retraites	6	on les retraites	2
à jean françois copé d' avoir justement pris cette initiative	grét à eanfrançois copé d' avoir justement pris cette initiative	0	grée à jean-françois copé d' avoir justement pris cette initiative	8
on était au dixième rang	vous êtes en dixième ra	3	vou était eu dixième rang	5
il y a la taxe oui bon	li à la tasse oui mas	5	lié à la tase oui mai	3
la compétitivité de l' allemagne s' est faite de façon intra européenne	la compétitivité de l' allemagne s' est faite de façon intraeuropéenne	8	la compétitivité de l' allemagne c' est faite de façon intra européenne	0
alors on va prendre par exemple ceux qu' on nous cite toujours en exemple les allemands	la coup du travail alors on va prendre par exemple ceux qu' on nous cite toujours en exemple les allem)	8	on cout travaillo on va prendre par exemple ce qu' on nous site toujours en exemple es allmes	0
monsieur qu' elle était le	pasu qu' elle était là	7	monsieur v u quaritéz de	1
pas étalé dans le dans la presse	étalée dans le temps dans la presse	3	pas étallé dans l( dans dans la presse euh	5
mais est ce que ces entreprises françaises comme cosmos savaient comment le régime utilisait leur martel leur matériel	ce que ces entreprises françaises comme kosmos savait comment le régime utiliser leur martèle leur matériel	2	et 'ai est-ce que ces entreprises françaises comme euh cosmos savaient euh comment le régime utilisait leur marté() leur matériel	6
le nouveau président ne composait pas un gouvernement il recrutait dit elle pour un casting	le nouveau président de composer pas un gouvernement il recrutait dit elle pour un casting	2	le nouveau président ne composait pas un gouvernement il le recrutait dit-elle pour un casting	6
d' autres services de d' ailleurs	notre service de d' ailleurs	2	dotre service de d' ailleurs euh	6
il nous a semblé	assemblée	0	qui nous a semblé	8
la culture et la compétence de peillon	culture et la compétence de payant	0	la culture et la compétence de payon	8
qui avait rassemblé plus de vingt millions de personnes jean baptiste prédali bonjour	avait rassemblé plus de vingt millions de personnes jean baptiste prédali bonjour	2	qui avait rassemblé plus de vingt millions de personnes jean-baptiste prédali bonjour	6
alors jean luc mélenchon qui s' en prend à une nouvelle fois aux journalistes	alors jean-luc mélenchon qui s' en prend une nouvelle fois au journalistes	4	alors jean-luc mélenchon qui s' en prend à une nouvelle fois aux journalistes	4
je pense que ça n' est pas très opportun à dix jours de la fin d' une campagne présidentielle	euh je pense que ça n' est pas très opportun euh à dix jours de la fin euh d' une campagne présidentielle	7	je pense que ça n' est pas très opportant euh à dix jours de la fin euh d' une campagne présidentielle	1
pour la russie comme pour la france	pour la russie internationale	6	pour la rssi comme pour le o	2
pour les français pour ceux qui nous regardent	pour les français mais ceux qui nous regardent dansaient	3	pour les français pour ceux qui nous reguarden fran çai	5
d' élucidations des assassinats et vu la pression	élucidation des assassinats et vu la pression	0	d' élucidation des assassinats et vu la pression	8
en bref la situation en syrie les combats se sont poursuivis aujourd'hui à alep	en bref la situation en syrie les combats se sont poursuivis aujourd' hui à albep	6	en bref la situation en syrie les combats se sont poursuivis aujourd' hui à aleb	2
à condition aussi que ces hommes que l' armée utilise ces armes	aussi que ces hommes que l' armée utilisent ces armes	0	condition aussi que euh ces hommes que l' armée euh euh utilise ces armes	8
parce que ils n' ont quand même ils n' ont ils ont beaucoup débattu sur le fond	parce que ils n' ont quand même que nous ayons beaucoup débattu sur le fond	5	parce que ils ont quand même k() ils ont ils) ont beaucoup débattu sur le fond	3
on avait fait en même temps quasiment en même temps qu' astérix un autre personnage qui s' appelait oumpah pah	mais on fait en même temps quasiment en même temps qu' asse arix un autre personnage qui s' appelait ou papa	3	an on fait en même temps quasiment en même temps qu' a sérix un autre personnage qui s' appellaie moun papa	5
mais de quoi s' agit il sa directrice est mon invitée dans bfm story	de quoi s' agit il sa directrice et mon invitée dans bfm story	2	mais de quoi s' agit-il sa directrice et mon invité dans bfm story	6
plus le temps passe plus on s' enfonce dans les mensonges	enfin on s' enfonce dans les mensonges	0	le temps passe plus on c' en fonce dans les mensonges	8
rapport de la cour des comptes il y a aucun doute si c' est cinq cents milliards	de la cour des comptes il y a aucun doute si c' est cinq cents mille	4	rapport de la cour des comptes il y a aucun doute si c' est sinpon mière	4
il est pas très tendre avec avec eva joly	avait avec eva joly	6	devrais tenenre e avec avec eva jenu	2
je pense que y a énormément de français qui dans les derniers jours là vont avoir envie de s' exprimer	je pense qu' il y a énormément de français qui dans les derniers jours là vont avoir envie de s' exprimer	8	je pense qu' énormément de français qui dans les derniers jours là vont avoir envie de s' exprimer	0
ça vaut pas cinquante centimes non c' est pas ça	pas cinquante centimes non c' est pas ça	8	n ba vrai quant en dit maion c' est pas ça	0
alors que peut on découvrir dans ce salon de quoi s' agit il	que peut on découvrir dans ce salon de quoi s' agit il	0	alors que peut-on découvrir dans ce salon de quoi s' agit-il	8
ça vaut pas cinquante centimes non c' est pas ça	n ba vrai quant en dit maion c' est pas ça	1	pas cinqante brondimaihen c' est pas ça	7
qui pensent qu' il faut choisir pour les pour la population obtue pour les peuples obtus	qui pent qu' il faut choisir pour les pour la population opttu pour les peuples opttus	2	qui pensen qu' il faut choisir pour les pour la population otue pour les peuples obtus	6
c' est quelque part il sent que les écologistes	c' est quelque part il sent euh queeh les écologistes	2	c' est quelque part il sent euh que euh les écologistes	6
c' est ce que vous dîtes elle est pas efficace	c' est ce que vous dites elle est pas efficace	8	c' est ceque vous e dites elle et pas efficace	0
écologiste au sénat jean vincent placé sera mon invité ce soir	écologiste au séna jean vasent passe sera mon invité ce soir	4	écologiste au sénat j' on va s' en placer sera mon invité ce soir	4
mais franchement vous	fin du mois	4	un naufragoi	4
daniel fasquelle est ce que vous reconnaissez quand même qu' à l' ump vous êtes partagés sur cette question	daniel fascal est-ce que vous reconnaissez quand même qu' à l' ump vous êtes partagée sur cette question	3	danièle fascal est-ce que vous reconnaissez quand même qu' à l' ump vous êtes partagé sur cette question	5
mais est ce que vous pouvez chiffrer ces moyens qui auraient été mal utilisés selon vous	mais est-ce que vous pouvez euh chiffrer ses moyens qui auraient été euh mal utilisés selon vous	1	mais est-ce que vous pouvez euh chiffrer ces moyens qui auraient été euh mal utilisés selon vous	7
filet de sécurité maintenu	il est de sécurité maintenu euh	0	filet de sécurité maintenu euh	8
ses failles et et parfois justement ce que ça pouvait avoir de	ces failles et et parfois justement ce que ça pouvait avoir de mal	8	euh s' éfaillent et euh et parfois justement ce que ça pouvait avoir de enmer gural	0
aidez moi à faire du vingt deux avril une surprise	aidezm moi à faire du vingt deux avril une surprise	8	et des mois àfin du vingt deux avril une surprise	0
donc vous validez donc la décision de créer des mouvements	vous valider donc la la décision de créer des mouvements	8	donc vous voyez euh donc la la décision euh de de créer des mouvements	0
reste qu' arcelormittal n' est pas encore décidé à céder ce site dans sa globalité	reste car cel hormital n' est pas encore décidé à céder ce site dans sa globalité	6	reste car c' est l' hormittal n' est pas encore décidé à céder ce site dans sa globalité	2
comment il s' appelle	apple	0	il s' appelle	8
une une explosion d' une violence inouïe	une euh une explosion d' une violence inouïe	6	uneuh une explosion d' une violence inouïe	2
quelles sont nos chances dans la catégorie boxe pour ces jo à londres	quelles sont nos chances dans la catégorie box pour eux ces gyaw à londres	5	quels sont nos chances euh dans la catégorie box euh pour euh c go à londres	3
tout même si y en avait sur les	tout mai mai si l y a e sur les	8	tout mois mas sine a e sor es entai	0
et eux aussi entrent dans cette logique de haine alors qu' ils sont censés la combattre	oscillent entre dans cette logique de haine alors qu' ils sont censés la combattre	0	et eux aussi entre eux dans cette logique de hain alors qu' ils sont sensés la combattre	8
merci florence muracciole et à lundi pour la revue de presse	florence muracciole et à lundi pour la revue de presse	0	merci euh florence euh muracciole et à lundi pour la revue de presse	8
et j' ai compris très vite que que j' avais un cancer	compris très vite que je vais danser	0	et euh je conpris ouh très vite euh que ce que j' aimais un cancer	8
une réunion publique ce matin où il s' est adressé	réunion publique ce matin où il s' est adressé	0	une réunion publique ce matin où ill s' est adressé	8
donc vous voyez que la politique fiscale du gouvernement que les écologistes tousenon soutenons totalement	donc vous voyez que la politique fiscale du gouvernement que les écologistes nou se nons soutenons totalement	7	donc vous voyez que la politique fiscale du gouvernement que les écologistes tout ce noubre soutenonc totalement	1
tout l' olympia pour lui il était à son apogée réservoir prod était vraiment la boîte de tous les succès	tout l' olympia pour lui il était à son apogé réservoir prode était vraiment la boîte de tous les succès	8	tout l' olympia pour lui il était à son apogé réservoir prodeté vraiment la boîte de tous les succèshm	0
ça s' améliore	c' est-à-dire	0	ça ser améliore	8
alors on on a en souvenir pékin bien entendu c' était politique mais alors londres	alors on en souvenir pékin bien entendu c' était politique mais alors londres	3	euh alors on on a en souvenir euh pékin bien entendu c' était politique mais alors londres	5
henri emmanuelli dire que on va devoir travailler plus tard	henri emmanuelli euh dire que on va devo parelle plus tard au dée e le	4	enri emmanueli euh dire que on va demar paer plus tard ou deseen dee	4
hier les deux finalistes dans la course effrénée à la présidentielle ont abattu leurs dernières cartes	hier les deux finalistes dans la course effréée à la présidentielle ont abattu leur dernères cartes	3	hier les deux finalistes dans la course effreinée à la présidentielle ont abattu leur dernière carte	5
un premier plan de départ est déjà à l' oeuvre alors le volontariat ils n' y croient plus	premier plan de départs est déjà à l' oeuvre alors le volontariat il n' y croient plus	1	un premier plan de départ est déjà à l' oeuvre alors le volontariat il n' y croit plus	7
il reconnaît sans langue de bois ses difficultés	il reconnaît sans l manue de bois ses difficultés	2	il reconnaît sans manque de bois ses difficultés	6
et ils ont fait la prière allah en arabe	ils ont fait la prière la un haras	0	et ils ont fait la prière à là en arabe	8
alors parlons un peu gros sous parce que on peut pas s' empêcher de regarder quand même la facture annoncée	alors parlons un peu gros sou parce que on peut pas s' empêcher de regarder quand même la facture annoncée	8	alors parlons un peu grossou parce que on peut pas s' empêcher de regarder quand même la facture annoncée	0
elle dit faire illusion non non elle fait réel	différer le logis en un an elle fait réel	0	elle dit faire illusion non non elle fait réelle	8
mais est ce que vous pouvez chiffrer ces moyens qui auraient été mal utilisés selon vous	mais est-ce que vous pouvez euh chyffrer ces moyens qui auraient été eh mal utilisés selon vous	0	mais est-ce que vous pouvez euh chiffrer ces moyens qui auraient été euh mal utilisés selon vous	8
ça y est les stones ont posé leurs amplis aux etats unis	ça y est l' histon s' oppose et l' ensemble aux états-unis	0	sayer les stones sont posées leursemble aux états-unis	8
par les entreprises à zéro un pour cent	les entreprises à zéro un pour cent	1	par les entreprises à zéro un pourcent	7
pour pour défendre évidemment votre candidat et puis avec nous sur ce plateau guillaume peltier bonsoir	pour euh pour défendre évidemment euh votre candidat que avec euh nous source plateaux guillaume pelletier bonsoir	0	pour euh pour défendre évidemment euh votre candidat et puis avece nous sur ce plateau guillaume peltier bonsoir	8
serait elle atteinte faut il bel et bien un électrochoc pour relancer la compétitivité des entreprises françaises	serait-elle atteinte faut-il bel et bien un électrochoc pour relancer la compétitivité des entreprises françaises	8	serait-elle atteinte faut-il bel et bien un électro choc pour relancer la compétitivité des entreprises françaises	0
ça s' améliore	ça ser améliore	7	ça se es iméliore	1
on faisait la grande famille c' était de midi et demi de douze heures trente à treize heures trente	on faisait la grande famille est et de midi et demi de douze heures trente à treize heures trente	0	euh on faisait la grande famille c' était de midi et demi de douze heures trente à treize heures trente	8
vous faites le lien avec l' affaire breivik c' est ça	je veux dire avec l' affaire breivik c' est ça	6	avec le lien avec l' affaire brevi c' est ça	2
bien alors donc le show biz avec la sortie aujourd'hui du nouvel album de gossip joyful	bien alors donc on shobiz avec la sortie aujourd' hui du nouvel album euh de gosip joh po	1	bien alors donc on showbize avec la sortie aujourd' hui du nouvel album euh de gossyp jo kou	7
leur une pour les prochaines semaines et consacreront leur choix à à jean luc delarue bien sûr	à leur une pour les prochaines semaines et consacrons dans choix alors là jean-louis delarue bien sûr	7	àuh leur une pour les prochaines semaines et consacront leur char à la r() à jean-luc delarru bien sûr	1
nous sommes tous fiers du travail que nous avons fait avec l' ancien président de la république	euh nous sommes tous fiers du travail que nous avons fait avec l' ancien président de la république	8	nous sommes touche fiers du travail que nous avons fait avec l' ancien président de la république	0
alors justement nous nous voilà entrés dans la la période ultra dense de la campagne	alors justement donc nous allons entrer dans la la période euh ultradancee de la campagne	6	alors justement donc nous vallens entrer dans la la période euh ultradance de la campagne	2
s' il est question de l' autorité de la france la question de sa de sa de sa potentialité	si la question de l' autorité de la france la question de sa toutes ses potentialités	4	si la question de l' autorité de la france la question de de ça ça peut se potentialités	3
des éditions hugo et compagnie et puis avec vous avec nous virgile caillet bonsoir vous êtes directeur de kantarsport	éditions hugoot et compagnie et puis avec v vous et avec nous virgile cayer bonsoir vous êtes directeur de canant à res sport	2	édition hugo est compagnie et puis avec v() vous avec nous virgille caillet bonsoir vous êtes le directeur de cantar sport	5
il faisait quelque chose que j' avais jamais vu avant	est quelque chose que j' avais jamais vu avant	3	et i(l) faisait quelque chose que j' avais jamais vu avant	4
les plus pénalisés et puis autour de de cela et au delà même sur les sur les fonctionnaires	plus pénalisés et puis au autour de de de cela et au delà même sur les sur les fonctionnaires	1	les plus pénalisés et puis au autour de de de cela et au-delà même sur les sur les fonctionnaires	6
nous nous restreindre à deux virgule cinq deux virgule huit trois pour cent	euh nous nous restreindre à euh deux virgule cinq deux virgule huit trois pourcent euh	4	euh nous nous restreindre à euh deux virgule cinq deux virgule huit trois pour cent euh	3
on était au dixième rang	voui étaiet un dixième rang	0	vou était eu dixième rang	7
le chiffre était	le chiffre ou était	7	le chefouteele	0
effectivement à côté du jeu politique et donc il est et c' est de la situation idéale	effectivement à côté du jeu politique et donc euh il est et c' est de la protitu idéale	1	effectivement à côté du jeu politique et donc euh il est c' est la poste situation idéale	6
mais pour les autres catégories de personnel cette prime est choquante	mais pour les autres catégories de personnelles cette prime échoquante	0	mais pour les autres catégories de personnels cette prime est choquante	7
il a eu deux périodes celle d' avant l' arrêt	euh il a eu euh deux périodes celle d' avant l' arrêt	5	euh il y a eu euh deux périodes celle d' avant l' arrêt	2
non le bobo	non le beau mout	3	non le beaucoup	4
le clip de l' apocalypse	le cype de l' apocalypse	7	les études de la pokanise	0
un univers foisonnant que les parisiens pourront découvrir à partir de mercredi et bonne nouvelle c' est gratuit	univers foisonnant que les parisiens pourront découvrir à partir de mercredi bonne nouvelle c' est gratuit	7	un univers wason que les parisiens pourront découvrir à partir de mercredi et bonne nouvelle s' est gratuée	0
je sais pas s' il était avec nous florian gazan animateur radio sur fun radio qui était vraiment	je sais pas s' il est avec nous florent gazan animateur radio sur fun radio qui était vraiment	5	je sais pas s' il éait avec nous florient gazan animateur radio sur fun ne radio qui était vraiment	2
il avait c' était un énorme bosseur jean luc il faut il faut pas oublier ça il était	vous savez c' est un énorme boxeur jean louis qui faut il ne faut pas oublier ça il était	6	avez vous c' est un énorme bosphore jean louis qu' il faut il faut pas oublier ça il était	1
comme le sont aujourd'hui les états c' est un	comme le sont aujourd' hui les etats c' est un	2	comme le sont aujourd' hui les états c' est un	5
oui c' est déjà la douche froide et puis et puis les records	oui c' est la douche froide et puis puis les records	3	ben oui c' est déjà la douche froide et puis et puis les records euh	4
emile et images peter et sloane début de soirée	image pittoresque en début de soirée	1	emile à image peter esto début de soirée	6
se bouffent le nez sur place	euh se bouff le nez sur place euh	3	euh se boufe le nez sur place euh	4
